cultivar,exp,dai,isolate,species,genotype,spike,spikelets,above,central,below,total,sev
BRS Guamirim,2,24,09tr002,F. meridionale,NIV,3,21,1,1,1,3,14.29
BRS Guamirim,2,24,09tr002,F. meridionale,NIV,4,18,2,1,2,5,27.78
BRS Guamirim,2,24,09tr002,F. meridionale,NIV,5,18,0,1,3,4,22.22
BRS Guamirim,2,24,09tr002,F. meridionale,NIV,6,18,1,1,2,4,22.22
BRS 194,1,4,09tr092,F. meridionale,NIV,1,18,0,1,0,1,5.56
BRS 194,1,4,09tr092,F. meridionale,NIV,2,19,0,1,0,1,5.26
BRS 194,1,4,09tr092,F. meridionale,NIV,3,13,0,1,0,1,7.69
BRS 194,1,4,09tr092,F. meridionale,NIV,4,16,0,1,0,1,6.25
BRS 194,1,4,09tr092,F. meridionale,NIV,5,17,0,1,0,1,5.88
BRS 194,1,7,09tr092,F. meridionale,NIV,1,18,0,1,0,1,5.56
BRS 194,1,7,09tr092,F. meridionale,NIV,2,19,0,1,0,1,5.26
BRS 194,1,7,09tr092,F. meridionale,NIV,3,13,0,1,0,1,7.69
BRS 194,1,7,09tr092,F. meridionale,NIV,4,16,0,1,1,2,12.5
BRS 194,1,7,09tr092,F. meridionale,NIV,5,17,1,1,0,2,11.76
BRS 194,1,11,09tr092,F. meridionale,NIV,1,18,0,1,0,1,5.56
BRS 194,1,11,09tr092,F. meridionale,NIV,2,19,0,1,0,1,5.26
BRS 194,1,11,09tr092,F. meridionale,NIV,3,13,0,1,0,1,7.69
BRS 194,1,11,09tr092,F. meridionale,NIV,4,16,1,1,1,3,18.75
BRS 194,1,11,09tr092,F. meridionale,NIV,5,17,1,1,0,2,11.76
BRS 194,1,15,09tr092,F. meridionale,NIV,1,18,0,1,2,3,16.67
BRS 194,1,15,09tr092,F. meridionale,NIV,2,19,1,1,1,3,15.79
BRS 194,1,15,09tr092,F. meridionale,NIV,3,13,0,1,0,1,7.69
BRS 194,1,15,09tr092,F. meridionale,NIV,4,16,1,1,1,3,18.75
BRS 194,1,15,09tr092,F. meridionale,NIV,5,17,1,1,0,2,11.76
BRS 194,1,19,09tr092,F. meridionale,NIV,1,18,0,1,2,3,16.67
BRS 194,1,19,09tr092,F. meridionale,NIV,2,19,1,1,3,5,26.32
BRS 194,1,19,09tr092,F. meridionale,NIV,3,13,0,1,0,1,7.69
BRS 194,1,19,09tr092,F. meridionale,NIV,4,16,1,1,1,3,18.75
BRS 194,1,19,09tr092,F. meridionale,NIV,5,17,1,1,1,3,17.65
BRS 194,2,4,09tr092,F. meridionale,NIV,1,11,2,1,1,4,36.36
BRS 194,2,4,09tr092,F. meridionale,NIV,2,16,2,1,1,4,25
BRS 194,2,4,09tr092,F. meridionale,NIV,3,20,1,1,1,3,15
BRS 194,2,4,09tr092,F. meridionale,NIV,4,18,0,1,0,1,5.56
BRS 194,2,4,09tr092,F. meridionale,NIV,5,20,1,1,0,2,10
BRS 194,2,4,09tr092,F. meridionale,NIV,6,13,2,1,1,4,30.77
BRS 194,2,4,09tr092,F. meridionale,NIV,7,20,1,1,1,3,15
BRS 194,2,7,09tr092,F. meridionale,NIV,1,11,2,1,1,4,36.36
BRS 194,2,7,09tr092,F. meridionale,NIV,2,16,2,1,1,4,25
BRS 194,2,7,09tr092,F. meridionale,NIV,3,20,2,1,1,4,20
