cultivar,exp,dai,isolate,species,genotype,spike,spikelets,above,central,below,total,sev
BRS Guamirim,1,24,09tr109,F. meridionale,NIV,1,17,2,1,1,4,23.529
BRS Guamirim,1,24,09tr109,F. meridionale,NIV,2,17,0,1,2,3,17.647
BRS Guamirim,1,24,09tr109,F. meridionale,NIV,3,18,3,1,1,5,27.778
BRS Guamirim,1,24,09tr109,F. meridionale,NIV,4,15,2,1,1,4,26.667
BRS Guamirim,1,24,09tr109,F. meridionale,NIV,5,16,2,1,1,4,25
BRS Guamirim,2,4,09tr109,F. meridionale,NIV,1,18,0,1,0,1,5.56
BRS Guamirim,2,4,09tr109,F. meridionale,NIV,2,14,0,1,0,1,7.14
BRS Guamirim,2,4,09tr109,F. meridionale,NIV,3,19,0,1,0,1,5.26
BRS Guamirim,2,4,09tr109,F. meridionale,NIV,4,13,0,1,0,1,7.69
BRS Guamirim,2,4,09tr109,F. meridionale,NIV,5,16,1,1,0,2,12.5
BRS Guamirim,2,4,09tr109,F. meridionale,NIV,6,13,0,1,0,1,7.69
BRS Guamirim,2,7,09tr109,F. meridionale,NIV,1,18,0,1,0,1,5.56
BRS Guamirim,2,7,09tr109,F. meridionale,NIV,2,14,0,1,0,1,7.14
BRS Guamirim,2,7,09tr109,F. meridionale,NIV,3,19,0,1,0,1,5.26
BRS Guamirim,2,7,09tr109,F. meridionale,NIV,4,13,0,1,1,2,15.38
BRS Guamirim,2,7,09tr109,F. meridionale,NIV,5,16,3,1,0,4,25
BRS Guamirim,2,7,09tr109,F. meridionale,NIV,6,13,0,1,0,1,7.69
BRS Guamirim,2,11,09tr109,F. meridionale,NIV,1,18,0,1,0,1,5.56
BRS Guamirim,2,11,09tr109,F. meridionale,NIV,2,18,0,1,1,2,11.11
BRS Guamirim,2,11,09tr109,F. meridionale,NIV,3,14,0,1,0,1,7.14
BRS Guamirim,2,11,09tr109,F. meridionale,NIV,4,19,0,1,2,3,15.79
BRS Guamirim,2,11,09tr109,F. meridionale,NIV,5,13,2,1,0,3,23.08
BRS Guamirim,2,11,09tr109,F. meridionale,NIV,6,16,1,1,0,2,12.5
BRS Guamirim,2,17,09tr109,F. meridionale,NIV,1,18,0,1,1,2,11.11
BRS Guamirim,2,17,09tr109,F. meridionale,NIV,2,18,2,1,1,4,22.22
BRS Guamirim,2,17,09tr109,F. meridionale,NIV,3,14,1,1,0,2,14.29
BRS Guamirim,2,17,09tr109,F. meridionale,NIV,4,19,2,1,2,5,26.32
BRS Guamirim,2,17,09tr109,F. meridionale,NIV,5,13,3,1,2,6,46.15
BRS Guamirim,2,17,09tr109,F. meridionale,NIV,6,16,1,1,0,2,12.5
BRS Guamirim,2,24,09tr109,F. meridionale,NIV,1,18,2,1,3,6,33.33
BRS Guamirim,2,24,09tr109,F. meridionale,NIV,2,18,2,1,2,5,27.78
BRS Guamirim,2,24,09tr109,F. meridionale,NIV,3,14,1,1,1,3,21.43
BRS Guamirim,2,24,09tr109,F. meridionale,NIV,5,13,3,1,3,7,53.85
BRS Guamirim,2,24,09tr109,F. meridionale,NIV,6,16,3,1,2,6,37.5
BRS 194,1,4,10tr135,F. meridionale,NIV,1,19,0,1,0,1,5.26
BRS 194,1,4,10tr135,F. meridionale,NIV,2,15,0,1,0,1,6.67
BRS 194,1,4,10tr135,F. meridionale,NIV,3,20,0,1,0,1,5
BRS 194,1,4,10tr135,F. meridionale,NIV,4,18,0,1,0,1,5.56
BRS 194,1,4,10tr135,F. meridionale,NIV,5,17,0,1,0,1,5.88
BRS 194,1,7,10tr135,F. meridionale,NIV,1,19,0,1,0,1,5.26
BRS 194,1,7,10tr135,F. meridionale,NIV,2,15,1,1,0,2,13.33
BRS 194,1,7,10tr135,F. meridionale,NIV,3,20,0,1,0,1,5
BRS 194,1,7,10tr135,F. meridionale,NIV,4,18,0,1,0,1,5.56
BRS 194,1,7,10tr135,F. meridionale,NIV,5,17,0,1,0,1,5.88
BRS 194,1,11,10tr135,F. meridionale,NIV,1,19,1,1,2,4,21.05
BRS 194,1,11,10tr135,F. meridionale,NIV,2,15,1,1,0,2,13.33
BRS 194,1,11,10tr135,F. meridionale,NIV,3,20,1,1,0,2,10
BRS 194,1,11,10tr135,F. meridionale,NIV,4,18,2,1,2,5,27.78
BRS 194,1,11,10tr135,F. meridionale,NIV,5,17,0,1,0,1,5.88
BRS 194,1,15,10tr135,F. meridionale,NIV,1,19,1,1,2,4,21.05
BRS 194,1,15,10tr135,F. meridionale,NIV,2,15,1,1,0,2,13.33
BRS 194,1,15,10tr135,F. meridionale,NIV,3,20,1,1,1,3,15
BRS 194,1,15,10tr135,F. meridionale,NIV,4,18,2,1,3,6,33.33
BRS 194,1,15,10tr135,F. meridionale,NIV,5,17,1,1,1,3,17.65
BRS 194,1,19,10tr135,F. meridionale,NIV,1,19,11,1,2,14,73.68
BRS 194,1,19,10tr135,F. meridionale,NIV,2,15,2,1,1,4,26.67
BRS 194,1,19,10tr135,F. meridionale,NIV,3,20,1,1,1,3,15
BRS 194,1,19,10tr135,F. meridionale,NIV,4,18,2,1,3,6,33.33
BRS 194,1,19,10tr135,F. meridionale,NIV,5,17,1,1,0,2,11.76
BRS 194,2,4,10tr135,F. meridionale,NIV,1,20,2,1,0,3,15
BRS 194,2,4,10tr135,F. meridionale,NIV,2,23,1,1,0,2,8.7
BRS 194,2,4,10tr135,F. meridionale,NIV,3,19,0,1,0,1,5.26
BRS 194,2,4,10tr135,F. meridionale,NIV,4,20,1,1,0,2,10
BRS 194,2,7,10tr135,F. meridionale,NIV,1,20,2,1,1,4,20
BRS 194,2,7,10tr135,F. meridionale,NIV,2,23,1,1,0,2,8.7
BRS 194,2,7,10tr135,F. meridionale,NIV,3,19,1,1,0,2,10.53
BRS 194,2,7,10tr135,F. meridionale,NIV,4,20,1,1,0,2,10
BRS 194,2,11,10tr135,F. meridionale,NIV,1,20,2,1,1,4,20
BRS 194,2,11,10tr135,F. meridionale,NIV,2,23,1,1,0,2,8.7
BRS 194,2,11,10tr135,F. meridionale,NIV,3,19,1,1,0,2,10.53
BRS 194,2,11,10tr135,F. meridionale,NIV,4,20,1,1,0,2,10
BRS 194,2,20,10tr135,F. meridionale,NIV,1,20,2,1,1,4,20
BRS 194,2,20,10tr135,F. meridionale,NIV,2,23,1,1,1,3,13.04
BRS 194,2,20,10tr135,F. meridionale,NIV,3,19,1,1,0,2,10.53
BRS 194,2,20,10tr135,F. meridionale,NIV,4,20,1,1,0,2,10
BRS Guamirim,1,4,10tr135,F. meridionale,NIV,1,16,0,1,0,1,6.25
BRS Guamirim,1,4,10tr135,F. meridionale,NIV,2,16,2,1,1,4,25
BRS Guamirim,1,4,10tr135,F. meridionale,NIV,3,18,1,1,0,2,11.111
BRS Guamirim,1,4,10tr135,F. meridionale,NIV,4,17,0,1,0,1,5.882
BRS Guamirim,1,4,10tr135,F. meridionale,NIV,5,17,0,1,0,1,5.882
BRS Guamirim,1,4,10tr135,F. meridionale,NIV,6,17,0,1,1,2,11.765
BRS Guamirim,1,4,10tr135,F. meridionale,NIV,7,17,1,1,0,2,11.765
BRS Guamirim,1,7,10tr135,F. meridionale,NIV,1,16,1,1,1,3,18.75
BRS Guamirim,1,7,10tr135,F. meridionale,NIV,2,16,2,1,1,4,25
BRS Guamirim,1,7,10tr135,F. meridionale,NIV,3,18,1,1,0,2,11.111
BRS Guamirim,1,7,10tr135,F. meridionale,NIV,4,17,0,1,0,1,5.882
BRS Guamirim,1,7,10tr135,F. meridionale,NIV,5,17,0,1,0,1,5.882
BRS Guamirim,1,7,10tr135,F. meridionale,NIV,6,17,0,1,1,2,11.765
BRS Guamirim,1,7,10tr135,F. meridionale,NIV,7,17,1,1,0,2,11.765
BRS Guamirim,1,11,10tr135,F. meridionale,NIV,1,16,1,1,1,3,18.75
BRS Guamirim,1,11,10tr135,F. meridionale,NIV,2,16,2,1,1,4,25
BRS Guamirim,1,11,10tr135,F. meridionale,NIV,3,18,1,1,0,2,11.111
BRS Guamirim,1,11,10tr135,F. meridionale,NIV,4,17,0,1,1,2,11.765
BRS Guamirim,1,11,10tr135,F. meridionale,NIV,5,17,0,1,1,2,11.765
BRS Guamirim,1,11,10tr135,F. meridionale,NIV,6,17,0,1,1,2,11.765
BRS Guamirim,1,11,10tr135,F. meridionale,NIV,7,17,1,1,0,2,11.765
BRS Guamirim,1,17,10tr135,F. meridionale,NIV,1,16,1,1,2,4,25
BRS Guamirim,1,17,10tr135,F. meridionale,NIV,2,16,2,1,1,4,25
BRS Guamirim,1,17,10tr135,F. meridionale,NIV,3,18,2,1,2,5,27.778
BRS Guamirim,1,17,10tr135,F. meridionale,NIV,4,17,1,1,2,4,23.529
BRS Guamirim,1,17,10tr135,F. meridionale,NIV,5,17,0,1,1,2,11.765
BRS Guamirim,1,17,10tr135,F. meridionale,NIV,6,17,0,1,2,3,17.647
BRS Guamirim,1,17,10tr135,F. meridionale,NIV,7,17,2,1,2,5,29.412
BRS Guamirim,1,24,10tr135,F. meridionale,NIV,1,16,2,1,4,7,43.75
BRS Guamirim,1,24,10tr135,F. meridionale,NIV,2,16,4,1,3,8,50
BRS Guamirim,1,24,10tr135,F. meridionale,NIV,3,18,4,1,3,8,44.444
BRS Guamirim,1,24,10tr135,F. meridionale,NIV,4,17,2,1,2,5,29.412
BRS Guamirim,1,24,10tr135,F. meridionale,NIV,5,17,2,1,2,5,29.412
BRS Guamirim,1,24,10tr135,F. meridionale,NIV,6,17,1,1,3,5,29.412
BRS Guamirim,1,24,10tr135,F. meridionale,NIV,7,17,2,1,2,5,29.412
BRS Guamirim,2,4,10tr135,F. meridionale,NIV,1,17,0,1,1,2,11.76
BRS Guamirim,2,4,10tr135,F. meridionale,NIV,2,19,1,1,1,3,15.79
BRS Guamirim,2,4,10tr135,F. meridionale,NIV,3,19,0,1,1,2,10.53
BRS Guamirim,2,4,10tr135,F. meridionale,NIV,4,17,0,1,0,1,5.88
BRS Guamirim,2,4,10tr135,F. meridionale,NIV,5,19,0,1,0,1,5.26
BRS Guamirim,2,7,10tr135,F. meridionale,NIV,1,17,1,1,0,2,11.76
BRS Guamirim,2,7,10tr135,F. meridionale,NIV,2,19,1,1,1,3,15.79
BRS Guamirim,2,7,10tr135,F. meridionale,NIV,3,19,0,1,1,2,10.53
BRS Guamirim,2,7,10tr135,F. meridionale,NIV,4,17,0,1,0,1,5.88
BRS Guamirim,2,7,10tr135,F. meridionale,NIV,5,19,0,1,0,1,5.26
BRS Guamirim,2,11,10tr135,F. meridionale,NIV,1,17,0,1,1,2,11.76
BRS Guamirim,2,11,10tr135,F. meridionale,NIV,2,19,1,1,1,3,15.79
BRS Guamirim,2,11,10tr135,F. meridionale,NIV,3,19,0,1,2,3,15.79
BRS Guamirim,2,11,10tr135,F. meridionale,NIV,4,17,0,1,0,1,5.88
BRS Guamirim,2,11,10tr135,F. meridionale,NIV,5,19,0,1,0,1,5.26
BRS Guamirim,2,17,10tr135,F. meridionale,NIV,1,17,0,1,2,3,17.65
BRS Guamirim,2,17,10tr135,F. meridionale,NIV,2,19,2,1,3,6,31.58
BRS Guamirim,2,17,10tr135,F. meridionale,NIV,3,19,0,1,3,4,21.05
BRS Guamirim,2,17,10tr135,F. meridionale,NIV,4,17,0,1,0,1,5.88
BRS Guamirim,2,17,10tr135,F. meridionale,NIV,5,19,0,1,1,2,10.53
BRS Guamirim,2,24,10tr135,F. meridionale,NIV,1,17,2,1,4,7,41.18
BRS Guamirim,2,24,10tr135,F. meridionale,NIV,2,19,2,1,3,6,31.58
BRS Guamirim,2,24,10tr135,F. meridionale,NIV,3,19,1,1,4,6,31.58
BRS Guamirim,2,24,10tr135,F. meridionale,NIV,4,17,2,1,1,4,23.53
BRS Guamirim,2,24,10tr135,F. meridionale,NIV,5,19,2,1,4,7,36.84
BRS 194,1,4,11tr082,F. meridionale,NIV,1,19,0,1,0,1,5.26
BRS 194,1,4,11tr082,F. meridionale,NIV,2,17,0,1,0,1,5.88
BRS 194,1,4,11tr082,F. meridionale,NIV,3,20,1,1,0,2,10
BRS 194,1,4,11tr082,F. meridionale,NIV,4,21,1,1,0,2,9.52
BRS 194,1,4,11tr082,F. meridionale,NIV,5,18,0,1,0,1,5.56
BRS 194,1,7,11tr082,F. meridionale,NIV,1,19,0,1,0,1,5.26
BRS 194,1,7,11tr082,F. meridionale,NIV,2,17,0,1,0,1,5.88
BRS 194,1,7,11tr082,F. meridionale,NIV,3,20,1,1,0,2,10
BRS 194,1,7,11tr082,F. meridionale,NIV,4,21,1,1,1,3,14.29
BRS 194,1,7,11tr082,F. meridionale,NIV,5,18,1,1,0,2,11.11
BRS 194,1,11,11tr082,F. meridionale,NIV,1,19,1,1,1,3,15.79
BRS 194,1,11,11tr082,F. meridionale,NIV,2,17,0,1,0,1,5.88
BRS 194,1,11,11tr082,F. meridionale,NIV,3,20,1,1,1,3,15
BRS 194,1,11,11tr082,F. meridionale,NIV,4,21,2,1,2,5,23.81
BRS 194,1,11,11tr082,F. meridionale,NIV,5,18,3,1,2,6,33.33
BRS 194,1,15,11tr082,F. meridionale,NIV,1,19,3,1,1,5,26.32
BRS 194,1,15,11tr082,F. meridionale,NIV,2,17,0,1,1,2,11.76
BRS 194,1,15,11tr082,F. meridionale,NIV,3,20,2,1,2,5,25
BRS 194,1,15,11tr082,F. meridionale,NIV,4,21,2,1,3,6,28.57
BRS 194,1,15,11tr082,F. meridionale,NIV,5,18,3,1,3,7,38.89
BRS 194,1,19,11tr082,F. meridionale,NIV,1,19,3,1,1,5,26.32
BRS 194,1,19,11tr082,F. meridionale,NIV,2,17,1,1,1,3,17.65
BRS 194,1,19,11tr082,F. meridionale,NIV,3,20,2,1,2,5,25
BRS 194,1,19,11tr082,F. meridionale,NIV,4,21,1,1,3,5,23.81
BRS 194,1,19,11tr082,F. meridionale,NIV,5,18,4,1,4,9,50
BRS 194,2,4,11tr082,F. meridionale,NIV,1,17,0,1,0,1,5.88
BRS 194,2,4,11tr082,F. meridionale,NIV,2,19,1,1,1,3,15.79
BRS 194,2,4,11tr082,F. meridionale,NIV,3,22,1,1,0,2,9.09
BRS 194,2,4,11tr082,F. meridionale,NIV,4,20,1,1,1,3,15
BRS 194,2,7,11tr082,F. meridionale,NIV,1,17,0,1,0,1,5.88
BRS 194,2,7,11tr082,F. meridionale,NIV,2,19,2,1,2,5,26.32
BRS 194,2,7,11tr082,F. meridionale,NIV,3,22,1,1,1,3,13.64
BRS 194,2,7,11tr082,F. meridionale,NIV,4,20,1,1,1,3,15
BRS 194,2,11,11tr082,F. meridionale,NIV,1,17,0,1,0,1,5.88
BRS 194,2,11,11tr082,F. meridionale,NIV,2,19,2,1,2,5,26.32
BRS 194,2,11,11tr082,F. meridionale,NIV,3,22,1,1,1,3,13.64
BRS 194,2,11,11tr082,F. meridionale,NIV,4,20,1,1,1,3,15
BRS 194,2,20,11tr082,F. meridionale,NIV,1,17,0,1,0,1,5.88
BRS 194,2,20,11tr082,F. meridionale,NIV,2,19,3,1,2,6,31.58
BRS 194,2,20,11tr082,F. meridionale,NIV,3,22,1,1,1,3,13.64
BRS 194,2,20,11tr082,F. meridionale,NIV,4,20,2,1,1,4,20
BRS Guamirim,1,4,11tr082,F. meridionale,NIV,1,17,0,1,0,1,5.882
BRS Guamirim,1,4,11tr082,F. meridionale,NIV,2,16,0,1,1,2,12.5
BRS Guamirim,1,4,11tr082,F. meridionale,NIV,3,19,0,1,0,1,5.263
BRS Guamirim,1,4,11tr082,F. meridionale,NIV,4,15,0,1,0,1,6.667
BRS Guamirim,1,4,11tr082,F. meridionale,NIV,5,18,0,1,0,1,5.556
BRS Guamirim,1,4,11tr082,F. meridionale,NIV,6,21,1,1,0,2,9.524
BRS Guamirim,1,7,11tr082,F. meridionale,NIV,1,17,2,1,0,3,17.647
BRS Guamirim,1,7,11tr082,F. meridionale,NIV,2,16,1,1,1,3,18.75
BRS Guamirim,1,7,11tr082,F. meridionale,NIV,3,19,0,1,0,1,5.263
BRS Guamirim,1,7,11tr082,F. meridionale,NIV,4,15,0,1,0,1,6.667
BRS Guamirim,1,7,11tr082,F. meridionale,NIV,5,18,0,1,1,2,11.111
BRS Guamirim,1,7,11tr082,F. meridionale,NIV,6,21,1,1,0,2,9.524
BRS Guamirim,1,11,11tr082,F. meridionale,NIV,1,17,2,1,0,3,17.647
BRS Guamirim,1,11,11tr082,F. meridionale,NIV,2,16,1,1,1,3,18.75
BRS Guamirim,1,11,11tr082,F. meridionale,NIV,3,19,0,1,1,2,10.526
BRS Guamirim,1,11,11tr082,F. meridionale,NIV,4,15,0,1,1,2,13.333
BRS Guamirim,1,11,11tr082,F. meridionale,NIV,5,18,0,1,1,2,11.111
BRS Guamirim,1,11,11tr082,F. meridionale,NIV,6,21,1,1,1,3,14.286
BRS Guamirim,1,17,11tr082,F. meridionale,NIV,1,17,4,1,1,6,35.294
BRS Guamirim,1,17,11tr082,F. meridionale,NIV,2,16,1,1,1,3,18.75
BRS Guamirim,1,17,11tr082,F. meridionale,NIV,3,19,0,1,1,2,10.526
BRS Guamirim,1,17,11tr082,F. meridionale,NIV,4,15,1,1,1,3,20
BRS Guamirim,1,17,11tr082,F. meridionale,NIV,5,18,0,1,1,2,11.111
BRS Guamirim,1,17,11tr082,F. meridionale,NIV,6,21,1,1,1,3,14.286
BRS Guamirim,1,24,11tr082,F. meridionale,NIV,1,17,6,1,3,10,58.824
BRS Guamirim,1,24,11tr082,F. meridionale,NIV,2,16,1,1,2,4,25
BRS Guamirim,1,24,11tr082,F. meridionale,NIV,3,19,1,1,3,5,26.316
BRS Guamirim,1,24,11tr082,F. meridionale,NIV,4,15,3,1,4,8,53.333
BRS Guamirim,1,24,11tr082,F. meridionale,NIV,5,18,2,1,4,7,38.889
BRS Guamirim,1,24,11tr082,F. meridionale,NIV,6,21,1,1,3,5,23.81
BRS Guamirim,2,4,11tr082,F. meridionale,NIV,1,17,0,1,0,1,5.88
BRS Guamirim,2,4,11tr082,F. meridionale,NIV,3,16,1,1,0,2,12.5
BRS Guamirim,2,4,11tr082,F. meridionale,NIV,4,17,0,1,0,1,5.88
BRS Guamirim,2,4,11tr082,F. meridionale,NIV,5,18,0,1,0,1,5.56
BRS Guamirim,2,4,11tr082,F. meridionale,NIV,6,18,0,1,0,1,5.56
BRS Guamirim,2,7,11tr082,F. meridionale,NIV,1,17,0,1,0,1,5.88
BRS Guamirim,2,7,11tr082,F. meridionale,NIV,3,16,1,1,0,2,12.5
BRS Guamirim,2,7,11tr082,F. meridionale,NIV,4,17,1,1,0,2,11.76
BRS Guamirim,2,7,11tr082,F. meridionale,NIV,5,18,0,1,0,1,5.56
BRS Guamirim,2,7,11tr082,F. meridionale,NIV,6,18,1,1,0,2,11.11
BRS Guamirim,2,11,11tr082,F. meridionale,NIV,1,17,0,1,0,1,5.88
BRS Guamirim,2,11,11tr082,F. meridionale,NIV,3,16,1,1,0,2,12.5
BRS Guamirim,2,11,11tr082,F. meridionale,NIV,4,17,1,1,0,2,11.76
BRS Guamirim,2,11,11tr082,F. meridionale,NIV,5,18,0,1,0,1,5.56
BRS Guamirim,2,11,11tr082,F. meridionale,NIV,6,18,1,1,0,2,11.11
BRS Guamirim,2,17,11tr082,F. meridionale,NIV,1,17,2,1,2,5,29.41
BRS Guamirim,2,17,11tr082,F. meridionale,NIV,3,16,4,1,2,7,43.75
BRS Guamirim,2,17,11tr082,F. meridionale,NIV,4,17,2,1,0,3,17.65
BRS Guamirim,2,17,11tr082,F. meridionale,NIV,5,18,2,1,2,5,27.78
BRS Guamirim,2,17,11tr082,F. meridionale,NIV,6,18,2,1,2,5,27.78
BRS Guamirim,2,24,11tr082,F. meridionale,NIV,1,17,4,1,2,7,41.18
BRS Guamirim,2,24,11tr082,F. meridionale,NIV,3,16,4,1,4,9,56.25
BRS Guamirim,2,24,11tr082,F. meridionale,NIV,4,17,2,1,4,7,41.18
BRS Guamirim,2,24,11tr082,F. meridionale,NIV,5,18,3,1,4,8,44.44
BRS Guamirim,2,24,11tr082,F. meridionale,NIV,6,18,3,1,4,8,44.44
BRS 194,1,4,11tr087,F. meridionale,NIV,1,20,0,1,0,1,5
BRS 194,1,4,11tr087,F. meridionale,NIV,2,20,0,0,0,0,0
BRS 194,1,4,11tr087,F. meridionale,NIV,3,19,0,1,0,1,5.26
BRS 194,1,4,11tr087,F. meridionale,NIV,4,20,0,1,0,1,5
BRS 194,1,4,11tr087,F. meridionale,NIV,5,15,0,0,0,0,0
BRS 194,1,4,11tr087,F. meridionale,NIV,6,20,0,1,0,1,5
BRS 194,1,4,11tr087,F. meridionale,NIV,7,4,0,1,0,1,25
BRS 194,1,7,11tr087,F. meridionale,NIV,1,20,0,1,0,1,5
BRS 194,1,7,11tr087,F. meridionale,NIV,2,20,0,0,0,0,0
BRS 194,1,7,11tr087,F. meridionale,NIV,3,19,0,1,0,1,5.26
BRS 194,1,7,11tr087,F. meridionale,NIV,4,20,0,1,0,1,5
BRS 194,1,7,11tr087,F. meridionale,NIV,5,15,0,1,0,1,6.67
BRS 194,1,7,11tr087,F. meridionale,NIV,6,20,0,1,0,1,5
BRS 194,1,7,11tr087,F. meridionale,NIV,7,4,0,1,0,1,25
BRS 194,1,11,11tr087,F. meridionale,NIV,1,20,0,1,1,2,10
BRS 194,1,11,11tr087,F. meridionale,NIV,2,20,0,1,0,1,5
BRS 194,1,11,11tr087,F. meridionale,NIV,3,19,0,1,0,1,5.26
BRS 194,1,11,11tr087,F. meridionale,NIV,4,20,0,1,1,2,10
BRS 194,1,11,11tr087,F. meridionale,NIV,5,15,0,1,0,1,6.67
BRS 194,1,11,11tr087,F. meridionale,NIV,6,20,0,1,0,1,5
BRS 194,1,11,11tr087,F. meridionale,NIV,7,4,0,1,0,1,25
BRS 194,1,15,11tr087,F. meridionale,NIV,1,20,0,1,1,2,10
BRS 194,1,15,11tr087,F. meridionale,NIV,2,20,0,1,0,1,5
BRS 194,1,15,11tr087,F. meridionale,NIV,3,19,0,1,1,2,10.53
BRS 194,1,15,11tr087,F. meridionale,NIV,4,20,1,1,1,3,15
BRS 194,1,15,11tr087,F. meridionale,NIV,5,15,0,1,1,2,13.33
BRS 194,1,15,11tr087,F. meridionale,NIV,6,20,1,1,0,2,10
BRS 194,1,15,11tr087,F. meridionale,NIV,7,4,1,1,1,3,75
BRS 194,1,19,11tr087,F. meridionale,NIV,1,20,1,1,2,4,20
BRS 194,1,19,11tr087,F. meridionale,NIV,2,20,0,1,0,1,5
BRS 194,1,19,11tr087,F. meridionale,NIV,3,19,0,1,1,2,10.53
BRS 194,1,19,11tr087,F. meridionale,NIV,4,20,1,1,1,3,15
BRS 194,1,19,11tr087,F. meridionale,NIV,5,15,0,1,1,2,13.33
BRS 194,1,19,11tr087,F. meridionale,NIV,6,20,1,1,0,2,10
BRS 194,1,19,11tr087,F. meridionale,NIV,7,4,1,1,1,3,75
BRS 194,2,4,11tr087,F. meridionale,NIV,1,17,0,0,0,0,0
BRS 194,2,4,11tr087,F. meridionale,NIV,2,18,1,1,0,2,11.11
BRS 194,2,4,11tr087,F. meridionale,NIV,3,17,0,1,1,2,11.76
BRS 194,2,4,11tr087,F. meridionale,NIV,4,17,1,1,0,2,11.76
BRS 194,2,4,11tr087,F. meridionale,NIV,5,18,0,1,1,2,11.11
BRS 194,2,7,11tr087,F. meridionale,NIV,1,17,0,1,0,1,5.88
BRS 194,2,7,11tr087,F. meridionale,NIV,2,18,1,1,0,2,11.11
BRS 194,2,7,11tr087,F. meridionale,NIV,3,17,1,1,1,3,17.65
BRS 194,2,7,11tr087,F. meridionale,NIV,4,17,1,1,0,2,11.76
BRS 194,2,7,11tr087,F. meridionale,NIV,5,18,0,1,1,2,11.11
BRS 194,2,11,11tr087,F. meridionale,NIV,1,17,0,1,1,2,11.76
BRS 194,2,11,11tr087,F. meridionale,NIV,2,18,1,1,0,2,11.11
BRS 194,2,11,11tr087,F. meridionale,NIV,3,17,1,1,1,3,17.65
BRS 194,2,11,11tr087,F. meridionale,NIV,4,17,1,1,0,2,11.76
BRS 194,2,11,11tr087,F. meridionale,NIV,5,18,0,1,1,2,11.11
BRS 194,2,20,11tr087,F. meridionale,NIV,1,17,0,1,1,2,11.76
BRS 194,2,20,11tr087,F. meridionale,NIV,2,18,2,1,0,3,16.67
BRS 194,2,20,11tr087,F. meridionale,NIV,3,17,2,1,2,5,29.41
BRS 194,2,20,11tr087,F. meridionale,NIV,4,17,1,1,0,2,11.76
BRS 194,2,20,11tr087,F. meridionale,NIV,5,18,1,1,1,3,16.67
BRS Guamirim,1,4,730-05,F. meridionale,NIV,1,18,0,1,0,1,5.556
BRS Guamirim,1,4,730-05,F. meridionale,NIV,2,18,1,1,0,2,11.111
BRS Guamirim,1,4,730-05,F. meridionale,NIV,3,17,1,1,1,3,17.647
BRS Guamirim,1,4,730-05,F. meridionale,NIV,4,20,0,1,0,1,5
BRS Guamirim,1,4,730-05,F. meridionale,NIV,5,16,0,1,0,1,6.25
BRS Guamirim,1,7,730-05,F. meridionale,NIV,1,18,0,1,0,1,5.556
BRS Guamirim,1,7,730-05,F. meridionale,NIV,2,18,2,1,1,4,22.222
BRS Guamirim,1,7,730-05,F. meridionale,NIV,3,17,1,1,1,3,17.647
BRS Guamirim,1,7,730-05,F. meridionale,NIV,4,20,1,1,0,2,10
BRS Guamirim,1,7,730-05,F. meridionale,NIV,5,16,0,1,0,1,6.25
BRS Guamirim,1,11,730-05,F. meridionale,NIV,1,18,0,1,0,1,5.556
BRS Guamirim,1,11,730-05,F. meridionale,NIV,2,18,2,1,1,4,22.222
BRS Guamirim,1,11,730-05,F. meridionale,NIV,3,17,2,1,1,4,23.529
BRS Guamirim,1,11,730-05,F. meridionale,NIV,4,20,2,1,0,3,15
BRS Guamirim,1,11,730-05,F. meridionale,NIV,5,16,0,1,0,1,6.25
BRS Guamirim,1,17,730-05,F. meridionale,NIV,1,18,1,1,1,3,16.667
BRS Guamirim,1,17,730-05,F. meridionale,NIV,2,18,2,1,1,4,22.222
BRS Guamirim,1,17,730-05,F. meridionale,NIV,3,17,2,1,1,4,23.529
BRS Guamirim,1,17,730-05,F. meridionale,NIV,4,20,1,1,2,4,20
BRS Guamirim,1,17,730-05,F. meridionale,NIV,5,16,1,1,1,3,18.75
BRS Guamirim,1,24,730-05,F. meridionale,NIV,1,18,1,1,2,4,22.222
BRS Guamirim,1,24,730-05,F. meridionale,NIV,2,18,2,1,1,4,22.222
BRS Guamirim,1,24,730-05,F. meridionale,NIV,3,17,2,1,3,6,35.294
BRS Guamirim,1,24,730-05,F. meridionale,NIV,4,20,2,1,4,7,35
BRS Guamirim,1,24,730-05,F. meridionale,NIV,5,16,2,1,2,5,31.25
BRS 194,1,4,730-13,F. meridionale,NIV,1,17,0,1,0,1,5.88
BRS 194,1,4,730-13,F. meridionale,NIV,2,17,0,1,0,1,5.88
BRS 194,1,4,730-13,F. meridionale,NIV,3,18,0,1,0,1,5.56
BRS 194,1,4,730-13,F. meridionale,NIV,4,17,0,1,0,1,5.88
BRS 194,1,4,730-13,F. meridionale,NIV,5,20,0,1,0,1,5
BRS 194,1,4,730-13,F. meridionale,NIV,6,16,0,1,0,1,6.25
BRS 194,1,4,730-13,F. meridionale,NIV,7,18,0,1,0,1,5.56
BRS 194,1,4,730-13,F. meridionale,NIV,8,12,0,1,0,1,8.33
BRS 194,1,7,730-13,F. meridionale,NIV,1,17,0,1,0,1,5.88
BRS 194,1,7,730-13,F. meridionale,NIV,2,17,0,1,0,1,5.88
BRS 194,1,7,730-13,F. meridionale,NIV,3,18,0,1,0,1,5.56
BRS 194,1,7,730-13,F. meridionale,NIV,4,17,0,1,0,1,5.88
BRS 194,1,7,730-13,F. meridionale,NIV,5,20,0,1,0,1,5
